Temperature (C),Temperature (K),Capacitance (nF),Permittivity ($\epsilon$)
23.5,296.5,635,4.04E-09
51,324,644,4.10E-09
56,329,650,4.14E-09
60,333,657,4.18E-09
65,338,658,4.19E-09
70,343,673,4.29E-09
75,348,695,4.43E-09
80,353,726,4.62E-09
85,358,767,4.89E-09
90,363,820,5.22E-09
95,368,905,5.76E-09
100,373,1020,6.50E-09
105,378,1120,7.13E-09
110,383,1100,7.01E-09
112,385,1050,6.69E-09
113,386,1028,6.55E-09
114,387,1000,6.37E-09
115,388,980,6.24E-09
116,389,958,6.10E-09
117,390,933,5.94E-09
118,391,910,5.80E-09
119,392,889,5.66E-09
120,393,870,5.54E-09
"fit(lin)","graph(2,3)",,
